Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions,Detection Result,Correction Result
"Ilang oras ang makalipas, nagsundo ng kanyang lola at lolo ang bata dahil sa hindi sila nagtitiwala sa suspek subalit paglabas nito ng bahay ay puno ng dugo ang damit at hawak-hawak ang dalawang kutsilyo.","Ilang oras ang makalipas, sinundo ng kanyang lola at lolo ang bata dahil sa hindi sila nagtitiwala sa suspek subalit paglabas nito ng bahay ay puno ng dugo ang damit at hawak-hawak ang dalawang kutsilyo.","Ilang oras ang makalipas, nasundo ng kanyang lola at lolo ang bata dahil sa hindi sila nagtitiwala sa suspek subalit paglabas nito ng bahay ay puno ng dugo ang damit at hawak-hawak ang dalawang kutsilyo.",['nagsundo'],"{'nagsundo': ['magsundo', 'nagsuno', 'nasundo', 'pagsundo', 'kasundo']}",TP,FN
Bago magpandemic noong December 2019 ganito rin ang tanong pero sa kalusugan ay 13% lamang ang pumabor.,Bago mag-pandemic noong December 2019 ganito rin ang tanong pero sa kalusugan ay 13% lamang ang pumabor.,Bago magpanic noong decker aako ganito rin ang tanong pero sa kalusugan ay ad% lamang ang pumabor.,"['magpandemic', 'December', '2019', '13']","{'magpandemic': ['magpandemya', 'magpadamit', 'magpanic', 'pandemic', 'prepandemic'], 'December': ['deber', 'deceased', 'decker', 'dedeliber', 'deemed'], '2019': ['aaba', 'aag', 'aako', 'aal', 'aala'], '13': ['p3', 'ab', 'ad', 'ag', 'ah']}",TP,FN
"Ang mga nasagip na dayuhan ay nakilalang sina Wang Ui Yong, Yan Lu Ting, Li Qing Lin, atYang Li Hui, pawang Chinese nationals at Teo Chee Ching na isang Malaysian habang makikipag-kilala naman ang naarestong suspek na si Darren Lim.","Ang mga nasagip na dayuhan ay nakilalang sina Wang Ui Yong, Yan Lu Ting, Li Qing Lin, atYang Li Hui, pawang Chinese nationals at Teo Chee Ching na isang Malaysian habang kinilala naman ang naarestong suspek na si Darren Lim.","Ang mga nasagip na dayuhan ay nakilalang sina Wang fi Yong, Yan cu Ting, di cing din, apyang di huli, pawang Chinese nationals at leo chef china na isang aalayan habang makikipag-kilala naman ang naarestong suspek na si barrel Lim.","['Ui', 'Lu', 'Li', 'Qing', 'Lin', 'atYang', 'Li', 'Hui', 'Teo', 'Chee', 'Ching', 'Malaysian', 'Darren']","{'Ui': ['bi', 'di', 'fi', 'hi', 'i'], 'Lu': ['au', 'bu', 'cu', 'flu', 'fu'], 'Li': ['ali', 'bi', 'di', 'fi', 'hi'], 'Qing': ['aing', 'bing', 'cing', 'ding', 'ging'], 'Lin': ['alin', 'bin', 'din', 'gin', 'hin'], 'atYang': ['adyang', 'anyang', 'apyang', 'aryang', 'atang'], 'Hui': ['hi', 'hub', 'huli', 'huni', 'husi'], 'Teo': ['ateo', 'deo', 'leo', 'neo', 'tao'], 'Chee': ['che', 'cheer', 'chef', 'cheke', 'ache'], 'Ching': ['ahing', 'chin', 'china', 'cing', 'cling'], 'Malaysian': ['malasin', 'malayuan', 'aalayan', 'alayan', 'balayagan'], 'Darren': ['bargen', 'barred', 'barrel', 'daraan', 'garden']}",TP,FN
Nangyari ang lahat ng ito habang hinihikayat naman ng maraming progresibong grupo na i-extend ng Comelec ang registration period.,Nangyayari ang lahat ng ito habang hinihikayat naman ng maraming progresibong grupo na i-extend ng Comelec ang registration period.,Nangyari ang lahat ng ito habang hinihikayat naman ng maraming progresibong grupo na i-extend ng Comelec ang registration period.,[],{},FN,FN
Ito ang unang paglalakbay ni Marcos sa ibang bansa ngayong 2023 at ika-pito mula ng maupo siya sa Malaca?ñang noong nakaraang taon.,Ito ang unang paglalakbay ni Marcos sa ibang bansa ngayong 2023 at ika-pito mula nang maupo siya sa Malaca?ñang noong nakaraang taon.,Ito ang unang paglalakbay ni Marcos sa ibang bansa ngayong aaba at ika-pito mula ng maupo siya sa malasa?bang noong nakaraang taon.,"['2023', 'Malaca', 'ñang']","{'2023': ['p25', 'p3', 'aaba', 'aag', 'aako'], 'Malaca': ['malaga', 'malala', 'malasa', 'malata', 'malawa'], 'ñang': ['aang', 'ang', 'bang', 'cang', 'dang']}",TP,FN
"Sinubukan na kunan ng pahayag ang nagorganisa ng bilyaran tumanggi pa ang pulisya na iharap siya, ayon sa ulat.--FRJ.","Sinubukan na kunan ng pahayag ang nag-organisa ng bilyaran tumanggi pa ang pulisya na iharap siya, ayon sa ulat.--FRJ.","Sinubukan na kunan ng pahayag ang inorganisa ng bilyaran tumanggi pa ang pulisya na iharap siya, ayon sa ulat.--ari.","['nagorganisa', 'FRJ']","{'nagorganisa': ['maorganisa', 'inoorganisa', 'inorganisa', 'ioorganisa', 'iorganisa'], 'FRJ': ['ar', 'are', 'ari', 'arm', 'art']}",TP,FN
"Nabatid na una nang nagpalabas ng closure order noon nakaraang taon ang BPLD dahil sa paglabag sa Sanitary Regulations, ngunit magpapatuloy pa rin sa operasyon ang punerarya.Noong.","Nabatid na una nang nagpalabas ng closure order noon nakaraang taon ang BPLD dahil sa paglabag sa Sanitary Regulations, ngunit nagpatuloy pa rin sa operasyon ang punerarya.Noong.","Nabatid na una nang nagpalabas ng closure order noon nakaraang taon ang apad dahil sa paglabag sa Sanitary Regulations, ngunit magpapatuloy pa rin sa operasyon ang punerarya.Noong.",['BPLD'],"{'BPLD': ['bold', 'buld', 'apad', 'apid', 'bad']}",TP,FN
"Karamihan mga unang unit na sakop ng recall ay ang FJ Cruiser, Corolla, Alphard, Innova, Fortuner at Prado na ginawa mula Setyembre 13 hanggang 2015.","Karamihan sa mga unang unit na sakop ng recall ay ang FJ Cruiser, Corolla, Alphard, Innova, Fortuner at Prado na ginawa mula Setyembre 13 hanggang 2015.","Karamihan mga unang unit na sakop ng recall ay ang fi crises, collab, alahas, anniv, foreigner at rado na ginawa mula Setyembre ad hanggang aaba.","['FJ', 'Cruiser', 'Corolla', 'Alphard', 'Innova', 'Fortuner', 'Prado', '13', '2015']","{'FJ': ['f', 'fb', 'fi', 'ft', 'fu'], 'Cruiser': ['cruise', 'cruises', 'crises', 'raiser', 'accuser'], 'Corolla': ['corona', 'carols', 'collab', 'collar', 'cool'], 'Alphard': ['aaward', 'alagad', 'alahas', 'alahero', 'alalad'], 'Innova': ['inlove', 'innovate', 'anniv', 'binola', 'ianod'], 'Fortuner': ['corner', 'costumer', 'foreigner', 'forever', 'former'], 'Prado': ['grado', 'parado', 'rado', 'apurado', 'araro'], '13': ['p3', 'ab', 'ad', 'ag', 'ah'], '2015': ['p25', 'p75', 'aaba', 'aag', 'aako']}",TP,FN
Opinyon ko lang naman.,Opinyon ko lang naman ito.,Opinyon ko lang naman.,[],{},FN,FN
"Sa harap ng pangyayari, nahanda na daw magparaya ang suspek sa babaeng mahal niya.--FRJ/KBK.","Sa harap ng pangyayari, nahanda na raw magparaya ang suspek sa babaeng mahal niya.--FRJ/KBK.","Sa harap ng pangyayari, nahanda na raw magparaya ang suspek sa babaeng mahal niya.--ari/abf.","['FRJ', 'KBK']","{'FRJ': ['ar', 'are', 'ari', 'arm', 'art'], 'KBK': ['ab', 'aba', 'abf', 'abo', 'abok']}",TP,FN
"Yung impact sa pamilya at sa tao, ang labas, hindi na katutulog yung mga sabungero 24 hours, ani Duterte.","Yung impact sa pamilya at sa tao, ang labas, hindi na natutulog yung mga sabungero 24 hours, ani Duterte.","Yung impact sa pamilya at sa tao, ang labas, hindi na ikatutulig yung mga sabungero ag hours, ani suwerte.","['katutulog', '24', 'Duterte']","{'katutulog': ['matutulog', 'natutulog', 'ikatutulig', 'katutubo', 'katutubong'], '24': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Duterte': ['butete', 'puwerte', 'suwerte', 'terte', 'bunete']}",TP,FN
"Parang ang hirap bitawan lang ng mga ganu??ng memories, dadagdagan pa ni Johua.","Parang ang hirap bitawan lang ng mga ganu??ng memories, dagdag pa ni Johua.","Parang ang hirap bitawan lang ng mga gana??ng amores, dadagdagan pa ni jowa.","['ganu', 'memories', 'Johua']","{'ganu': ['anu', 'gan', 'gana', 'gang', 'ganun'], 'memories': ['memorial', 'memorize', 'amores', 'calories', 'entries'], 'Johua': ['john', 'joma', 'jowa', 'jowa', 'aqua']}",TP,FN
"Tunghayan ang buong kuwento ni Lester sa video na ito ng ng ""Tunay Na Buhay.","Tunghayan ang buong kuwento ni Lester sa video na ito ng ""Tunay Na Buhay.","Tunghayan ang buong kuwento ni letter sa video na ito ng ng ""Tunay Na Buhay.",['Lester'],"{'Lester': ['jester', 'lesser', 'letter', 'tester', 'better']}",TP,FN
Hindi rin maaaring makapaningil nang dagdag pasahe ang mga PUVs hanggat walang maipapaskil na fare matrix o fare guide sa kanilang mga sasakyan.,Hindi rin maaaring makapaningil ng dagdag pasahe ang mga PUVs hanggat walang maipapaskil na fare matrix o fare guide sa kanilang mga sasakyan.,Hindi rin maaaring makapaningil nang dagdag pasahe ang mga bus hanggat walang ipapaskil na fare matrix o fare guide sa kanilang mga sasakyan.,"['PUVs', 'maipapaskil']","{'PUVs': ['puis', 'bugs', 'bus', 'cups', 'cuts'], 'maipapaskil': ['magpapaskil', 'naipapaskil', 'ipapaskil', 'magpapasil', 'nagpapaskil']}",TP,FN
Binanggit din nito ang problema ng mga driving schools na kakailanganin pang iencode isa-isa ang mga old certificates na mula pa sa ACES system patungong LTMS portal.,Binanggit din nito ang problema ng mga driving schools na kinakailangan pang iencode isa-isa ang mga old certificates na mula pa sa ACES system patungong LTMS portal.,Binanggit din nito ang problema ng mga driving schools na kakailanganin pang iencode isa-isa ang mga old certificates na mula pa sa acres system patungong atis portal.,"['ACES', 'LTMS']","{'ACES': ['acces', 'ace', 'acres', 'acts', 'ages'], 'LTMS': ['arms', 'atas', 'atis', 'cams', 'clams']}",TP,FN
Hindi naman naman daw siya ang tipong nagtataray sa set.,Hindi naman daw siya ang tipong nagtataray sa set.,Hindi naman naman daw siya ang tipong nagpaaray sa set.,['nagtataray'],"{'nagtataray': ['nagtatagay', 'magtatagay', 'nagpaaray', 'nagtataan', 'nagtataas']}",TP,FN
Ito ito ay ang kabutihan o kagandahang-loob ng isang tao.,Ito ay ang kabutihan o kagandahang-loob ng isang tao.,Ito ito ay ang kabutihan o kagandahang-loob ng isang tao.,[],{},FN,FN
Na magsagawa ng state visit upang mas mapalakas ang pagkakaibigan ng ng dalawang bansa.,Na magsagawa ng state visit upang mas mapalakas ang pagkakaibigan ng dalawang bansa.,Na magsagawa ng state visit upang mas mapalakas ang pagkakaibigan ng ng dalawang bansa.,[],{},FN,FN
"Habang ang iba na kapos, matutunan pa din natin ang magbahagi, sambit ng senadora.","Habang ang iba na kapos, matutunan pa rin natin ang magbahagi, sambit ng senadora.","Habang ang iba na kapos, matutunan pa rin natin ang magbahagi, sambit ng senadora.",[],{},TP,TP
"Duterte nitong Lunes ng gabi, sinabi ni DILG Sec. Eduardo A?ño na mula sa 131,699 crime index sa bansa ay nasa 34,552 na lamang ito 2021.","Duterte nitong Lunes ng gabi, sinabi ni DILG Sec. Eduardo A?ño na mula sa 131,699 crime index sa bansa ay nasa 34,552 na lamang ito noong 2021.","suwerte nitong Lunes ng gabi, sinabi ni DILG Sec. Eduardo ag?co na mula sa aal,aam crime index sa bansa ay nasa ag,aal na lamang ito aag.","['Duterte', 'A', 'ño', '131', '699', '34', '552', '2021']","{'Duterte': ['butete', 'puwerte', 'suwerte', 'terte', 'bunete'], 'A': ['ab', 'ad', 'ag', 'ah', 'ak'], 'ño': ['ao', 'bo', 'co', 'do', 'go'], '131': ['p3', 'aag', 'aal', 'aam', 'aat'], '699': ['aag', 'aal', 'aam', 'aat', 'aaw'], '34': ['ab', 'ad', 'ag', 'ah', 'ak'], '552': ['p57', 'aag', 'aal', 'aam', 'aat'], '2021': ['p25', 'aaba', 'aag', 'aako', 'aal']}",TP,FN
Ito ang ikatlong susundan na arangkada ng Elasto Painters ni coach Chris Gavina at ipinalasap sa Bolts ni mentor Norman Black ang unang kabiguan sa tatlong laro.,Ito ang ikatlong sunod na arangkada ng Elasto Painters ni coach Chris Gavina at ipinalasap sa Bolts ni mentor Norman Black ang unang kabiguan sa tatlong laro.,Ito ang ikatlong susundan na arangkada ng balasto paints ni coach carts apina at ipinaganap sa bolta ni mentor anoman Black ang unang kabiguan sa tatlong laro.,"['Elasto', 'Painters', 'Chris', 'Gavina', 'ipinalasap', 'Bolts', 'Norman']","{'Elasto': ['abasto', 'alisto', 'balasto', 'blast', 'blasts'], 'Painters': ['printers', 'gainers', 'paints', 'patintero', 'planters'], 'Chris': ['cards', 'cars', 'carts', 'cers', 'chain'], 'Gavina': ['aapina', 'amina', 'apina', 'arina', 'ayina'], 'ipinalasap': ['pinalasap', 'ipinabasa', 'ipinaganap', 'ipinakasal', 'ipinalabas'], 'Bolts': ['boats', 'bolt', 'bolta', 'boots', 'baits'], 'Norman': ['normal', 'porman', 'anoman', 'doorman', 'foreman']}",TP,FN
Idiniin ni VP Robredo ang kahalagahan ng pagtatayo ng mga CLH para punan ang mga isyut kakulangan na hinarap ng mga estudyante sa distance learning sa gitna ng pandemya.,Idiniin ni VP Robredo ang kahalagahan ng pagtatayo ng mga CLH para punan ang mga isyut kakulangan na hinaharap ng mga estudyante sa distance learning sa gitna ng pandemya.,itiniin ni VP Robredo ang kahalagahan ng pagtatayo ng mga ala para punan ang mga isyut kakulangan na hinarap ng mga estudyante sa distance learning sa gitna ng pandemya.,"['Iriniin', 'CLH']","{'Iriniin': ['idiniin', 'iringin', 'itiniin', 'ibinilin', 'ibinitin'], 'CLH': ['ah', 'al', 'ala', 'ale', 'ali']}",TP,FN
Marami na daw ang nagpapayo sa kaniya na huminto na sa paglaban.,Marami na raw ang nagpapayo sa kaniya na huminto na sa paglaban.,Marami na raw ang nagpapayo sa kaniya na huminto na sa paglaban.,[],{},TP,TP
"Sinabi ni DTI Secretary Ramon Lopez na sa pagbubukas ng ekonomiya ay magbabalik na din ang mula 200,000 hanggang 300,000 trabaho na napilitang tanggalin ng mga negosyo dahil sa mas mahigpit na enhanced community quarantine Malaking ginhawa rin umano ang dulot nito sa mga nawalan noon ng trabaho na maaari nang maghanapbuhay para sa kanilang pamilya.","Sinabi ni DTI Secretary Ramon Lopez na sa pagbubukas ng ekonomiya ay magbabalik na rin ang mula 200,000 hanggang 300,000 trabaho na napilitang tanggalin ng mga negosyo dahil sa mas mahigpit na enhanced community quarantine Malaking ginhawa rin umano ang dulot nito sa mga nawalan noon ng trabaho na maaari nang maghanapbuhay para sa kanilang pamilya.","Sinabi ni DTI Secretary mamon lone na sa pagbubukas ng ekonomiya ay magbabalik na rin ang mula aam,aam hanggang aam,aam trabaho na napilitang tanggalin ng mga negosyo dahil sa mas mahigpit na enhanced community quarantine Malaking ginhawa rin umano ang dulot nito sa mga nawalan noon ng trabaho na maaari nang maghanapbuhay para sa kanilang pamilya.","['Ramon', 'Lopez', '200', '000', '300', '000']","{'Ramon': ['hamon', 'lamon', 'mamon', 'ramen', 'ramo'], 'Lopez': ['hope', 'leper', 'lone', 'lopoy', 'lose'], '200': ['aag', 'aal', 'aam', 'aat', 'aaw'], '000': ['aag', 'aal', 'aam', 'aat', 'aaw'], '300': ['aag', 'aal', 'aam', 'aat', 'aaw']}",TP,FN
"Nasasakupan nina Jeronimo at Laurente ang pinagganapan nang boxing match sa Tondo noong Mayo, kung saan nagkumpulan ang mga tao at halos walang nakasuot na face masks.","Nasasakupan nina Jeronimo at Laurente ang pinagganapan ng boxing match sa Tondo noong Mayo, kung saan nagkumpulan ang mga tao at halos walang nakasuot na face masks.","Nasasakupan nina terorismo at flagrante ang pinagganapan nang boxing match sa todo noong Mayo, kung saan nagkumpulan ang mga tao at halos walang nakasuot na face masks.","['Jeronimo', 'Laurente', 'Tondo']","{'Jeronimo': ['anonimo', 'sinonimo', 'terorismo', 'aerobics', 'animo'], 'Laurente': ['ahente', 'aumento', 'flagrante', 'karent', 'karete'], 'Tondo': ['condo', 'pondo', 'todo', 'tono', 'tonto']}",TP,FN
"Aniya, dapat daw ay hindi muna mag-audit ang COA habang hindi pa tapos ang administrasyon ni Digong, kahit na taun-taon naman na itong gagawa ng komisyon kahit dati pa.","Aniya, dapat daw ay hindi muna mag-audit ang COA habang hindi pa tapos ang administrasyon ni Digong, kahit na taun-taon naman na itong ginagawa ng komisyon kahit dati pa.","Aniya, dapat daw ay hindi muna mag-audit ang coal habang hindi pa tapos ang administrasyon ni Digong, kahit na taun-taon naman na itong gagawa ng komisyon kahit dati pa.",['COA'],"{'COA': ['cha', 'co', 'coal', 'coat', 'col']}",TP,FN
"Singson, pinagpapahinga daw muna niya si Ana bago nila pag-usapan ang pagsasampa ng kaso, dahil talagang matindi raw ang tama ng aktres sa pambubugbog umano sa kanya ni Kit.","Singson, pinagpapahinga raw muna niya si Ana bago nila pag-usapan ang pagsasampa ng kaso, dahil talagang matindi raw ang tama ng aktres sa pambubugbog umano sa kanya ni Kit.","pinuson, pinagpapahinga raw muna niya si aga bago nila pag-usapan ang pagsasampa ng kaso, dahil talagang matindi raw ang tama ng aktres sa pambubugbog umano sa kanya ni Kit.","['Singson', 'Ana']","{'Singson': ['lingon', 'pinison', 'pinuson', 'sinabon', 'singco'], 'Ana': ['aba', 'ada', 'aga', 'aka', 'ala']}",TP,FN
"Pero ng tingnan niya itong mabuti, hindi makapaniwala ang lalaki na nakakuha siya ng diamond ding sa buhanginan.","Pero nang tingnan niya itong mabuti, hindi makapaniwala ang lalaki na nakakuha siya ng diamond ding sa buhanginan.","Pero ng tingnan niya itong mabuti, hindi makapaniwala ang lalaki na nakakuha siya ng dimon ding sa buhanginan.",['diamond'],"{'diamond': ['damong', 'diakono', 'dimon', 'dimong', 'dinamong']}",TP,FN
Kinausap siya ng counsellor sa ospital ng aminin niya sa pinasulatan sa kanyang form na ilang beses niyang tinangkang magpakamatay o saktan ang kanyang sarili dahil sa pang-aabuso ng kanyang tiyo.,Kinausap siya ng counsellor sa ospital nang aminin niya sa pinasulatan sa kanyang form na ilang beses niyang tinangkang magpakamatay o saktan ang kanyang sarili dahil sa pang-aabuso ng kanyang tiyo.,Kinausap siya ng counsellor sa ospital ng aminin niya sa pinabalatan sa kanyang form na ilang beses niyang tinangkang magpakamatay o saktan ang kanyang sarili dahil sa pang-aabuso ng kanyang tiyo.,['pinasulatan'],"{'pinasulatan': ['pinamulatan', 'kinamulatan', 'pinabalatan', 'pinadulasan', 'pinagmulatan']}",TP,FN
"Ang mga balat ng mga palaka ang kuha ng mga toxin, kaya sila ang unang mamamatay kung nagkaroon ng kontaminasyon.","Ang mga balat ng mga palaka ang kumukuha ng mga toxin, kaya sila ang unang mamamatay kung nagkaroon ng kontaminasyon.","Ang mga balat ng mga palaka ang kuha ng mga toxin, kaya sila ang unang mamamatay kung nagkaroon ng kontaminasyon.",[],{},FN,FN
Pinagsabihan raw ng isa sa kanilang kasamahan si Gaviola na agad nitong ikinagalit.,Pinagsabihan daw ng isa sa kanilang kasamahan si Gaviola na agad nitong ikinagalit.,Pinagsabihan daw ng isa sa kanilang kasamahan si alila na agad nitong ikinagalit.,['Gaviola'],"{'Gaviola': ['aalila', 'agila', 'alila', 'anila', 'apila']}",TP,FN
"So kesa matengga ang singers natin sa bansa, doon na lang sila sa abroad magshow dahil kahit hindi kumita ang show eh nababayaran din sila, huh!","So kesa matengga ang singers natin sa bansa, doon na lang sila sa abroad mag-show dahil kahit hindi kumita ang show eh nababayaran din sila, huh!","So kesa malingga ang singers natin sa bansa, doon na lang sila sa abroad magsuob dahil kahit hindi kumita ang show eh nababayaran din sila, hush!","['matengga', 'magshow', 'huh']","{'matengga': ['natengga', 'mabangga', 'malingga', 'manangga', 'mangga'], 'magshow': ['magho', 'magsahog', 'magsuob', 'magsuot', 'nagsho'], 'huh': ['hub', 'huho', 'hush', 'hut', 'ah']}",TP,FN
Nagpaalala kahapon ang Department of Health (DOH) sa publiko sa malaking banta banta ng pagkakaroon ng diabetes ng mga taong dadapuan ng COVID-19 base sa isang pag-aaral.,Nagpaalala kahapon ang Department of Health (DOH) sa publiko sa malaking banta ng pagkakaroon ng diabetes ng mga taong dadapuan ng COVID-19 base sa isang pag-aaral.,Nagpaalala kahapon ang Department of Health (DOH) sa publiko sa malaking banta banta ng pagkakaroon ng diabetes ng mga taong dadapuan ng COVID-ag base sa isang pag-aaral.,['19'],"{'19': ['ab', 'ad', 'ag', 'ah', 'ak']}",TP,FN
"So ibig sabihin na kailangan nilang bumiyahe maaraw man o maggabi but they chose to interpret it in such a way na gabi lang raw sila bibiyahe pero kung titingnan natin `yong kanilang special permit ay `yong kanilang prangkisa ay nakasaad doon sa mga terms and conditions doon na they have the responsibility to transport passengers at any time of the day when there is demand, ani Cassion.","So ibig sabihin na kailangan nilang bumiyahe maaraw man o maggabi but they chose to interpret it in such a way na gabi lang daw sila bibiyahe pero kung titingnan natin `yong kanilang special permit ay `yong kanilang prangkisa ay nakasaad doon sa mga terms and conditions doon na they have the responsibility to transport passengers at any time of the day when there is demand, ani Cassion.","So ibig sabihin na kailangan nilang bumiyahe maaraw man o magsabi but they hose to interpret it in such ag way na gabi lang daw sila bibiyahe pero kung titingnan natin `yong kanilang special permit ay `yong kanilang prangkisa ay nakasaad doon sa mga terms and conditions doon na they have the responsibility to transport passengers at any time of the day when there is demand, ani bastion.","['maggabi', 'chose', 'a', 'Cassion']","{'maggabi': ['maghabi', 'magkabi', 'magsabi', 'magtabi', 'gagabi'], 'chose': ['choose', 'close', 'hose', 'those', 'whose'], 'a': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Cassion': ['passion', 'assign', 'bastion', 'caution', 'fashion']}",TP,FN
"Kung nag-give nga naman siya, tiyak na uulanin siya ng pagbati at papuri lalo na sa social media, eh dahil wala siyang ??give,? nawala rin.","Kung nag-give nga naman siya, tiyak na uulanin siya ng pagbati at papuri lalo na sa social media, eh dahil wala siyang ??give,? wala rin.","Kung nag-give nga naman siya, tiyak na uulanin siya ng pagbati at papuri lalo na sa social media, eh dahil wala siyang ??give,? nawala rin.",[],{},TP,FN
Marami sa mga pa ligid natin yan.,Marami sa mga paligid natin yan.,Marami sa mga pa ligid natin yan.,[],{},FN,FN
Kaya naman ang taong napag-iwanan ng mana ay kakakailangan niyang ingatan ang anumang bagay na ibinilin at ipinagkatiwala sa kaniya.,Kaya naman ang taong napag-iwanan ng mana ay kailangan niyang ingatan ang anumang bagay na ibinilin at ipinagkatiwala sa kaniya.,Kaya naman ang taong napag-iwanan ng mana ay kumakailangan niyang ingatan ang anumang bagay na ibinilin at ipinagkatiwala sa kaniya.,['kakakailangan'],"{'kakakailangan': ['kakailangan', 'kinakailangan', 'kumakailangan', 'magkakailangan', 'nagkakailangan']}",TP,FN
"94 Office of the President at nilagdaan ni Executive Secretary Salvador Medialdea, inilatag ang mga panuntunan para sa pagbabawas ng bilang ng mga manggagawa sa gobyerno na pisikal na papasok sa trabaho o onsite workers.","94 ng Office of the President at nilagdaan ni Executive Secretary Salvador Medialdea, inilatag ang mga panuntunan para sa pagbabawas ng bilang ng mga manggagawa sa gobyerno na pisikal na papasok sa trabaho o onsite workers.","ag Office of the President at nilagdaan ni Executive Secretary soldador mediated, inilatag ang mga panuntunan para sa pagbabawas ng bilang ng mga manggagawa sa gobyerno na pisikal na papasok sa trabaho o onsite workers.","['94', 'Salvador', 'Medialdea']","{'94': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Salvador': ['kalsador', 'saldado', 'soldador', 'abyador', 'agwador'], 'Medialdea': ['medalya', 'mediamen', 'mediated', 'medida', 'diadema']}",TP,FN
Dalawang pagsabog naganap kamakalawa ng tanghali sa Sultan Kudarat ayon sa Joint Task Force Central (JTFC) at 6th Infantry (Kampilan) Division.,Dalawang pagsabog ang naganap kamakalawa ng tanghali sa Sultan Kudarat ayon sa Joint Task Force Central (JTFC) at 6th Infantry (Kampilan) Division.,Dalawang pagsabog naganap kamakalawa ng tanghali sa Sultan kumagat ayon sa Joint Task Force Central (tic) at at Infantry (Kampilan) Division.,"['Kudarat', 'JTFC', '6th']","{'Kudarat': ['karat', 'kulalat', 'kumagat', 'kumalat', 'kumayat'], 'JTFC': ['etc', 'ntf', 'tic', 'abf', 'anf'], '6th': ['ah', 'ash', 'at', 'ata', 'ate']}",TP,FN
"Habang hintay ng go-signal ng paglabas, walang inaaksayang sandali ang 7-foot-3 na tuluy-tuloy lang sa workout.","Habang naghihintay ng go-signal ng paglabas, walang inaaksayang sandali ang 7-foot-3 na tuluy-tuloy lang sa workout.","Habang hintay ng go-signal ng paglabas, walang inaksayang sandali ang d-foot-d na tuluy-tuloy lang sa workout.","['inaaksayang', '7', '3']","{'inaaksayang': ['inaakbayang', 'inaaksyang', 'inaksayang', 'naaksayang', 'aaksayang'], '7': ['b', 'c', 'd', 'e', 'f'], '3': ['b', 'c', 'd', 'e', 'f']}",TP,FN
"Marahil ay ilan sa atin ang masyadong nahihintatakutan, masyadong naliligalig at wawalain sa pokus kaya mas nangingibabaw sa kanila ang takot kapag dumating sa buhay ang mga pagsubok.","Marahil ay ilan sa atin ang masyadong nahihintatakutan, masyadong naliligalig at nawawala sa pokus kaya mas nangingibabaw sa kanila ang takot kapag dumating sa buhay ang mga pagsubok.","Marahil ay ilan sa atin ang masyadong nahihintakutang, masyadong naliligalig at wawalain sa pokus kaya mas nangingibabaw sa kanila ang takot kapag dumating sa buhay ang mga pagsubok.",['nahihintatakutan'],"{'nahihintatakutan': ['nahihintakutan', 'mahihintakutan', 'nahihintakutang', 'mahihintakutang', 'naghihinanakitan']}",TP,FN
"Alamin ang resulta ng isinagawang imbestigasyon ng pu lisya sa video na ito ng ""KMJS.""","Alamin ang resulta ng isinagawang imbestigasyon ng pulisya sa video na ito ng ""KMJS.""","Alamin ang resulta ng isinagawang imbestigasyon ng pu lisya sa video na ito ng ""amis.""",['KMJS'],"{'KMJS': ['kms', 'amas', 'amis', 'amos', 'cms']}",TP,FN
"Sa regualr na swab test sa Athletes Village, unang lumabas na positive positive ang resulta ng naturang coach ngunit nag-negatibo ito sa confirmatory test.","Sa regualr na swab test sa Athletes Village, unang lumabas na positive ang resulta ng naturang coach ngunit nag-negatibo ito sa confirmatory test.","Sa equal na swab test sa Athletes Village, unang lumabas na positive positive ang resulta ng naturang coach ngunit nag-negatibo ito sa confirmatory test.",['regualr'],"{'regualr': ['regalo', 'regular', 'equal', 'iregalo', 'iregula']}",TP,FN
"Nagpasabog si Agen Miranda nang 21 puntos, tatlong rebounds at tatlong assists upang pangunahan ang Heavy Bombers sa ikaapat na panalo sa anim na laro.","Nagpasabog si Agen Miranda ng 21 puntos, tatlong rebounds at tatlong assists upang pangunahan ang Heavy Bombers sa ikaapat na panalo sa anim na laro.","Nagpasabog si aged birada nang ag puntos, tatlong rebond at tatlong aasisti upang pangunahan ang Heavy Bombers sa ikaapat na panalo sa anim na laro.","['Agen', 'Miranda', '21', 'rebounds', 'assists']","{'Agen': ['agan', 'age', 'aged', 'agent', 'ages'], 'Miranda': ['baranda', 'beranda', 'birada', 'hinanda', 'ihanda'], '21': ['ab', 'ad', 'ag', 'ah', 'ak'], 'rebounds': ['rebound', 'bounds', 'rebond', 'refunds', 'rounds'], 'assists': ['assist', 'aasiste', 'aasisti', 'artists', 'asiste']}",TP,FN
