tokens,Original Sentence,Gold Sentence,Correction,Correct or Incorrect
4661,"Aniya, “wala namang gustong magka-COVID pero kung kumakalam na ang sikmura ng iyong pamilya, hahayaan mo na lang ba, lalo na kung ikaw ay isang ama at asawa”?","Aniya, “wala namang gustong magka-COVID pero kung kumakalam na ang sikmura ng iyong pamilya, hahayaan mo na lang ba, lalo na kung ikaw ay isang ama at asawa”?",transform_split_hyphen,Correct
7332,"Sinabi ni Col. Christopher Panapan, Maguindanao provincial police director na nitong Miyerkules ay ginalugad ng mga pulis ang naturang lugar upang hanapin ang mga suspek matapos na isang off-duty security guard ang nag-ulat na hinoldap siya ng dalawang suspek sa Purok Fatima, Brgy.","Sinabi ni Col. Christopher Panapan, Maguindanao provincial police director na nitong Miyerkules ay ginalugad ng mga pulis ang naturang lugar upang hanapin ang mga suspek matapos na isang off-duty security guard ang nag-ulat na hinoldap siya ng dalawang suspek sa Purok Fatima, Brgy.",transform_insert_hyphen,Correct
21019,Pero walang direktang nakatanong kay Julia tungkol sa diumanoy problema nila ng karelasyong aktor kaya mga palihis ang tanong sa kanya.,Pero walang direktang nakatanong kay Julia tungkol sa diumanoy problema nila ng karelasyong aktor kaya mga palihis ang tanong sa kanya.,delete,Correct
13125,"Kuwento ni Ken sa interview ng 24 Oras, Merong mga pagkakataon na kami ni Rita na sinasabi namin, O, ganito yung gagawin, iaakyat mo ‘yung legs mo dito.’","Kuwento ni Ken sa interview ng 24 Oras, Merong mga pagkakataon na kami ni Rita na sinasabi namin, O, ganito yung gagawin, iaakyat mo ‘yung legs mo dito.’",transform_verb_contobj,Correct
1895,"Kung isa kang certified TikToker, para sa iyo ang hamon na ito!","Kung isa kang certified TikToker, para sa iyo ang hamon na ito!",change_punc_emark,Correct
4671,"Kinilala ng Bontoc-PNP ang mga nasugatang sina Banayan Saowad, 66; Betty Fararao, 65; Rosita Awingan, 65, kabilang ang driver ng jeep na si Clifford Chamkas, 46, pawang residente ng Barangay Dalican sa nasabing bayan.","Kinilala ng Bontoc-PNP ang mga nasugatang sina Banayan Saowad, 66; Betty Fararao, 65; Rosita Awingan, 65, kabilang ang driver ng jeep na si Clifford Chamkas, 46, pawang residente ng Barangay Dalican sa nasabing bayan.",transform_verb_compobj,Correct
15144,"Nagpapasalamat si Gladys na pinagbigyan siya nina Derek at Ellen na makatsikahan niya para sa programa niyang Moments. “Ever since, mabait talaga sa amin ni Chris (Christopher Roxas) si Derek,” pakli ni Gladys.","Nagpapasalamat si Gladys na pinagbigyan siya nina Derek at Ellen na makatsikahan niya para sa programa niyang Moments. “Ever since, mabait talaga sa amin ni Chris (Christopher Roxas) si Derek,” pakli ni Gladys.",multiple_add_punc_period,Correct
20739,"Alam na ng mga beteranong artista kapag ang magandang girl ang kasama nila, hindi sila nauunang bumati, pinapanis lang nila ang laway nila!","Alam na ng mga beteranong artista kapag ang magandang girl ang kasama nila, hindi sila nauunang bumati, pinapanis lang nila ang laway nila!",replace_sila,Correct
14034,Ang isang guwardiya na noong mga oras na iyon ay rumoronda at malapit lang umano sa lugar ay agad namang humingi ng tulong sa pulisya.,Ang isang guwardiya na noong mga oras na iyon ay rumoronda at malapit lang umano sa lugar ay agad namang humingi ng tulong sa pulisya.,transform_verb_compact,Correct
5157,Sibak ang hepe ng Caloocan City Police mataposna kasuhan ng libel ang isang dalaga naunang humingi ngtulongmatapos na tangkang dukutin ng isang lalaki na nagpakilalang pulis kamakailan sa nasabing lungsod.,Sibak ang hepe ng Caloocan City Police mataposna kasuhan ng libel ang isang dalaga naunang humingi ngtulongmatapos na tangkang dukutin ng isang lalaki na nagpakilalang pulis kamakailan sa nasabing lungsod.,transform_verb_contact,Correct
12038,Aminado si Lloydie na maingat siya kapag sina Derek at Ellen na ang paksa.,Aminado si Lloydie na maingat siya kapag sina Derek at Ellen na ang paksa.,change_punc_period,Correct
20253,"Sa pagpasok ng I-Witness team sa ospital, maraming pangyayari ang kanilang naranasan—mga pangyayaring mahirap ipaliwanag. Mismong si Mariz, may nakakatindig-balahibong karanasan din nang biglang may gumalaw sa madilim na bahagi ng pasilyo sa gitna ng kanyang pagsasalita.","Sa pagpasok ng I-Witness team sa ospital, maraming pangyayari ang kanilang naranasan—mga pangyayaring mahirap ipaliwanag. Mismong si Mariz, may nakakatindig-balahibong karanasan din nang biglang may gumalaw sa madilim na bahagi ng pasilyo sa gitna ng kanyang pagsasalita.",multiple_capital,Correct
9811,"Patay ang tatlong pasahero habang sugatan ang 17 na iba pa nang bumangga ang sinasakyan nilang pampasaherong jeepney sa poste ng kuryente sa Tanay, Rizal kamakalawa ng umaga.","Patay ang tatlong pasahero habang sugatan ang 17 na iba pa nang bumangga ang sinasakyan nilang pampasaherong jeepney sa poste ng kuryente sa Tanay, Rizal kamakalawa ng umaga.",transform_verb_incobj,Correct
14576,"Tinayaan niya ang six-digit winning combination na 02 – 18 – 49 – 07 – 19 – 47. Ang matindi pa riyan, isang beses lang siyang tumaya sa lucky pick (LP) sa halagang P20.","Tinayaan niya ang six-digit winning combination na 02 – 18 – 49 – 07 – 19 – 47. Ang matindi pa riyan, isang beses lang siyang tumaya sa lucky pick (LP) sa halagang P20.",multiple_capital,Correct
22004,"Umabot na sa P12 trilyon ang utang ng pamahalaan nung katapusan ng Enero 2022, higit doble ng P5.9.","Umabot na sa P12 trilyon ang utang ng pamahalaan nung katapusan ng Enero 2022, higit doble ng P5.9.",delete,Correct
10125,"Mahanap at makausap pa kaya ni Mclean ang kaniyang kaibigang si Mar? Tunghayan ang episode na ito ng ""KMJS.""","Mahanap at makausap pa kaya ni Mclean ang kaniyang kaibigang si Mar? Tunghayan ang episode na ito ng ""KMJS.""",multiple_change_punc_qmark,Correct
4377,"Mula Enero 17 ay inilunsad nito ang Angat Pinoy Tulong Negosyo Program na magbibigay ng P10,000 para sa mga kwalipikadong SMEs.","Mula Enero 17 ay inilunsad nito ang Angat Pinoy Tulong Negosyo Program na magbibigay ng P10,000 para sa mga kwalipikadong SMEs.",transform_split_hyphen,Correct
18033,Humantong kaya ito sa forever?,Humantong kaya ito sa forever?,change_punc_qmark,Correct
20898,"Kasi marami kang puwede i-push sa kanila at a different angle, dagdag pa ni Zoren.","Kasi marami kang puwede i-push sa kanila at a different angle, dagdag pa ni Zoren.",merge_hyphen,Correct
16220,"8 overall ng Dyip bilang bahagi ng trade sa San Miguel Beermen kapalit ni CJ Perez, ang magdadagdag sa puwersa sa frontline ng Hotshots.","8 overall ng Dyip bilang bahagi ng trade sa San Miguel Beermen kapalit ni CJ Perez, ang magdadagdag sa puwersa sa frontline ng Hotshots.",add_punc_period,Correct
4942,"48, walang trabaho ay sumugod na armado ng baril sa bahay ng mga biktima at hinagisan sila ng mga bato sa Purok 2, Brgy.","48, walang trabaho ay sumugod na armado ng baril sa bahay ng mga biktima at hinagisan sila ng mga bato sa Purok 2, Brgy.",merge_space,Correct
6506,Umabot na sa 300 tauhan ng Department of Health (DOH) ang nagpositibo sa COVID-19 habang nasa 400 naman ang sumasailalim sa ‘quarantine’ dahilan para bumaba ang kapasidad sa paggawa ng ahensya.,Umabot na sa 300 tauhan ng Department of Health (DOH) ang nagpositibo sa COVID-19 habang nasa 400 naman ang sumasailalim sa ‘quarantine’ dahilan para bumaba ang kapasidad sa paggawa ng ahensya.,transform_verb_compact,Correct
20699,Sino ba ang mag-aakala na ang dating nagtitinda ng pandesal sa GenSan ay magiging sikat na boksingero pala sa buong mundo at sino rin ang mag-iisip na ihahatid pala siya ng kasikatan niyang yun sa Senado?,Sino ba ang mag-aakala na ang dating nagtitinda ng pandesal sa GenSan ay magiging sikat na boksingero pala sa buong mundo at sino rin ang mag-iisip na ihahatid pala siya ng kasikatan niyang yun sa Senado?,transform_insert_hyphen,Correct
16329,"Anyway, ginagawa ngayon ni Claudine ang pelikulang Loyalista na biopic ni Imelda Papin at siya ang gumaganap na young Imelda Papin.","Anyway, ginagawa ngayon ni Claudine ang pelikulang Loyalista na biopic ni Imelda Papin at siya ang gumaganap na young Imelda Papin.",transform_split_space,Correct
23229,"Napirmi naman sa 31,478ang kasalukuyang ""active cases"" ng sakit. Kumakatawan yan sa mga patuloy pa ring nagpapagaling mula sa COVID-19 infection.","Napirmi naman sa 31,478ang kasalukuyang ""active cases"" ng sakit. Kumakatawan yan sa mga patuloy pa ring nagpapagaling mula sa COVID-19 infection.",multiple_capital,Correct
7061,At ganun na pala katagal yun.,At ganun na pala katagal yun.,merge_space,Correct
9414,"Samantala, may nakakarating na sa aming pangalan na makakasama ni Bea Alonzo sa kauna-unahang drama series na gagawin niya sa GMA 7.","Samantala, may nakakarating na sa aming pangalan na makakasama ni Bea Alonzo sa kauna-unahang drama series na gagawin niya sa GMA 7.",transform_verb_contobj,Correct
3482,"Sa programang ""Unang Hirit,"" sinabi ng feng shui consultant na si Jean Chua, na lahat ng halaman ay itinuturing lucky charm.","Sa programang ""Unang Hirit,"" sinabi ng feng shui consultant na si Jean Chua, na lahat ng halaman ay itinuturing lucky charm.",transform_verb_compobj,Correct
14151,"Noong Friday raw, mas lumakas na yon.","Noong Friday raw, mas lumakas na yon.",append_t1,Correct
6196,"Sa huling ulat ng DOH nitong Miyerkules, umabot na sa 582,223 ang nahawaan ng COVID-19 sa Pilipinas. Patay na sa bilang na yan ang 12,389 katao.","Sa huling ulat ng DOH nitong Miyerkules, umabot na sa 582,223 ang nahawaan ng COVID-19 sa Pilipinas. Patay na sa bilang na yan ang 12,389 katao.",multiple_change_punc_period,Correct
19455,Nagsasama pa naman sila ng “misis” niya.,Nagsasama pa naman sila ng “misis” niya.,replace_ng,Correct
18398,"Kaya siguro makikiusap na lang tayo—pag-apela sa atin pong pangalawang pangulo na kung gusto pa nila, welcome na welcome sila rito sa Quezon City dahil napakarami po nating mamamayan na nangangailangan pang magpabakuna.","Kaya siguro makikiusap na lang tayo—pag-apela sa atin pong pangalawang pangulo na kung gusto pa nila, welcome na welcome sila rito sa Quezon City dahil napakarami po nating mamamayan na nangangailangan pang magpabakuna.",replace_sila,Correct
349,"Para naman makapasok sa raffle draw at manalo ng papremyo, kailangang ibigay ang buong pangalan, address, edad, phone number, at e-mail address sa registration form na makikita pagkatapos sagutan ang huling tanong sa laro.","Para naman makapasok sa raffle draw at manalo ng papremyo, kailangang ibigay ang buong pangalan, address, edad, phone number, at e-mail address sa registration form na makikita pagkatapos sagutan ang huling tanong sa laro.",add_punc_period,Correct
19771,Dinala raw siya sa isang liblib na lugar at doon ilang beses daw siyang pinagsamantalahan.,Dinala raw siya sa isang liblib na lugar at doon ilang beses daw siyang pinagsamantalahan.,replace_daw,Correct
492,"Paalala ni Dionisio, kailangan ng ""relationship maintenance,"" kung saan dapat paalalahanan ang isang tao kung paano makipag-usap, makinig, at maging mabuti sa partner.","Paalala ni Dionisio, kailangan ng ""relationship maintenance,"" kung saan dapat paalalahanan ang isang tao kung paano makipag-usap, makinig, at maging mabuti sa partner.",delete,Correct
5220,"Nang sumulpot at magpakilala ang mga pulis, nagtatakbo ang dalawang lalaki ngunit nagawang makorner ng mga pulis si Delos Santos.","Nang sumulpot at magpakilala ang mga pulis, nagtatakbo ang dalawang lalaki ngunit nagawang makorner ng mga pulis si Delos Santos.",replace_nang,Correct
10671,"Ayon kay Robles, aabot sa tig-?","Ayon kay Robles, aabot sa tig-?",change_punc_qmark,Correct
5769,Tinawag ang naturang pagtitipon na ‘national council’.,Tinawag ang naturang pagtitipon na ‘national council’.,transform_verb_compobj,Correct
5425,"Sa pahayag naman ng Bulacan Medical Center, sinabi nitong taos-puso silang nakikiramay sa pamilya ng namatay.","Sa pahayag naman ng Bulacan Medical Center, sinabi nitong taos-puso silang nakikiramay sa pamilya ng namatay.",transform_verb_compobj,Correct
18236,Pinagpasa-pasahan ang magkakapatid pero matibay silang kumpait sa isat isa.,Pinagpasa-pasahan ang magkakapatid pero matibay silang kumpait sa isat isa.,transform_split_space,Correct
23185,Ang tinutukoy na French guy ay si Pierre Plassart na nakarelasyon ng dalaga pero hindi rin nagtagal dahil hindi umubra sa kanila ang LDR o long distance relationship.,Ang tinutukoy na French guy ay si Pierre Plassart na nakarelasyon ng dalaga pero hindi rin nagtagal dahil hindi umubra sa kanila ang LDR o long distance relationship.,append_t1,Correct
5888,"Kamukha ba talaga niya si Daniel (Padilla)? “So nakatengga kami, magkausap kami... biglang naririnig ko yung boses niya, napapikit ako, pagtingin ko ‘alam mo, grabe, Seth. Dumi-DJ ka!’ tapos sabi niya, ay nako ate, narinig ko na nga ‘yan. Ang daming nagsasabi.’ Tapos may kinuha siyang shades, yung orange, tapos lumapit siya sa ken. Sabi ko, ‘Oh my God! Kamukha mo si Daniel Padilla,’” kuwento pa ng misis ni Ice Seguerra.","Kamukha ba talaga niya si Daniel (Padilla)? “So nakatengga kami, magkausap kami... biglang naririnig ko yung boses niya, napapikit ako, pagtingin ko ‘alam mo, grabe, Seth. Dumi-DJ ka!’ tapos sabi niya, ay nako ate, narinig ko na nga ‘yan. Ang daming nagsasabi.’ Tapos may kinuha siyang shades, yung orange, tapos lumapit siya sa ken. Sabi ko, ‘Oh my God! Kamukha mo si Daniel Padilla,’” kuwento pa ng misis ni Ice Seguerra.",multiple_add_punc_emark,Correct
5617,"Maganda ang mukha niya at makinis, pero pagdating sa kamay, turn off sila, huh!","Maganda ang mukha niya at makinis, pero pagdating sa kamay, turn off sila, huh!",append_t1,Correct
1194,Sino nga ba sa ating presidential aspirants ang tunay na handa para maging susunod na Pangulo ng Republika ng Pilipinas?,Sino nga ba sa ating presidential aspirants ang tunay na handa para maging susunod na Pangulo ng Republika ng Pilipinas?,change_punc_qmark,Correct
6819,"Napakalaki ni Angel, kahit anong paglalaro ang gawin ng cameraman sa mga shots niya, e, talagang super-taba nga siya!","Napakalaki ni Angel, kahit anong paglalaro ang gawin ng cameraman sa mga shots niya, e, talagang super-taba nga siya!",add_punc_emark,Correct
23183,Ang magkakampeon sa Luzon leg ay makakasama ang ibang champions ng ibang rehiyon sa National Finals na gaganapin sa Hunyo na sa FINA-certified Aquatics Center pa rin gaganapin.,Ang magkakampeon sa Luzon leg ay makakasama ang ibang champions ng ibang rehiyon sa National Finals na gaganapin sa Hunyo na sa FINA-certified Aquatics Center pa rin gaganapin.,replace_rin,Correct
13875,"Takang tanong naman ni Mama Loi, Pero bakit si Bea ang binabalikan niya?","Takang tanong naman ni Mama Loi, Pero bakit si Bea ang binabalikan niya?",transform_verb_incobj,Correct
12742,"Sa ulat ng Reuters, sinabi ng pulisya na tanging ang batang si Paveenut Supolwong, tinatawag na ""Ammy,"" ang hindi nasugatan nang mamaril at manaksak sa nursery center sa Uthai Sawan ang dating pulis na si Panya Khamrap. Matapos ang masaker sa nursery center, sinabi sa ulat na umuwi si Panya kung saan niya binaril at pinatay rin ang kaniyang asawa at anak, bago naman siya nagbaril sa sarili.","Sa ulat ng Reuters, sinabi ng pulisya na tanging ang batang si Paveenut Supolwong, tinatawag na ""Ammy,"" ang hindi nasugatan nang mamaril at manaksak sa nursery center sa Uthai Sawan ang dating pulis na si Panya Khamrap. Matapos ang masaker sa nursery center, sinabi sa ulat na umuwi si Panya kung saan niya binaril at pinatay rin ang kaniyang asawa at anak, bago naman siya nagbaril sa sarili.",multiple_change_punc_period,Correct
8852,Kasama na rin sa kanilang hanay si Cecil Ancheta na OFW sa Bahrain. Mga OFW din ang ilan sa administrative staff nito tulad nina Morena Altura. Maraming organisasyon ng mga OFW ang nakapagpalabas ng kanilang mga aktibidad at simulain sa pahayagang ito. Naging saksi ang PSN sa buhay ng mga Pinoy sa Gitnang Silangan. Nagmistulang diyaryo ng mga OFW ang PSN-Middle East edition.,Kasama na rin sa kanilang hanay si Cecil Ancheta na OFW sa Bahrain. Mga OFW din ang ilan sa administrative staff nito tulad nina Morena Altura. Maraming organisasyon ng mga OFW ang nakapagpalabas ng kanilang mga aktibidad at simulain sa pahayagang ito. Naging saksi ang PSN sa buhay ng mga Pinoy sa Gitnang Silangan. Nagmistulang diyaryo ng mga OFW ang PSN-Middle East edition.,multiple_change_punc_period,Correct
17105,Kasi papaano nga kung biglang magkalabuan?,Kasi papaano nga kung biglang magkalabuan?,delete,Correct
3208,Buti na lang at andyan ang GMA na lagi talagang naka-suporta sa kanya.,Buti na lang at andyan ang GMA na lagi talagang naka-suporta sa kanya.,merge_hyphen,Correct
13969,"Nababahala ang isang medical group sa planong pagbabalik ng dami ng sakay ng mga pampasaherong sasakyan sa pre-pandemic levels sasakyan sa punong rehiyong, bagay na maaari daw magbunsod uli ng pagsipa sa COVID-19 cases kung mamadaliin.","Nababahala ang isang medical group sa planong pagbabalik ng dami ng sakay ng mga pampasaherong sasakyan sa pre-pandemic levels sasakyan sa punong rehiyong, bagay na maaari daw magbunsod uli ng pagsipa sa COVID-19 cases kung mamadaliin.",transform_verb_contobj,Correct
18156,Matagal-tagal nang hindi napapanood sa teleserye o pelikula si James Reid.,Matagal-tagal nang hindi napapanood sa teleserye o pelikula si James Reid.,merge_hyphen,Correct
9229,"At sa tulong ng mga isinagawang DNA test sa mga ina at sa mga sanggol, naresolba ang masalimuot na pangyayari.","At sa tulong ng mga isinagawang DNA test sa mga ina at sa mga sanggol, naresolba ang masalimuot na pangyayari.",merge_space,Correct
18413,"Una nang sinabi ni Health Secretary Francisco Duque III na ""wala silang kinurakot"" sa pera, na naka-account naman daw ang lahat at ginamit sa procurement ng test kits, personal protective equipments, pagbabayad ng benepisyo ng healthcare workers at pagpapasweldo.","Una nang sinabi ni Health Secretary Francisco Duque III na ""wala silang kinurakot"" sa pera, na naka-account naman daw ang lahat at ginamit sa procurement ng test kits, personal protective equipments, pagbabayad ng benepisyo ng healthcare workers at pagpapasweldo.",merge_hyphen,Correct
7088,Naglagay na rin ng help desk ang Navotas LGU para sa mga Overseas Filipino Workers (OFWS) na nagnanais na makakuha ng vaccination certificate.,Naglagay na rin ng help desk ang Navotas LGU para sa mga Overseas Filipino Workers (OFWS) na nagnanais na makakuha ng vaccination certificate.,transform_case_lower,Correct
7421,"Hoy, huwag ninyong kalilimutan na ngayon ay isang legal holiday dahil sa petsa ring ito, binaril sa Luneta ang pambansang bayani ng Pilipinas na si Gat.","Hoy, huwag ninyong kalilimutan na ngayon ay isang legal holiday dahil sa petsa ring ito, binaril sa Luneta ang pambansang bayani ng Pilipinas na si Gat.",transform_split_space,Correct
5591,Dulot na rin ito ng nakikitang pagbabalewala na marami sa mga itinakdang protocols ng IATF tulad ng social distancing partikular sa mga bus and jeepney at maging ang pagsasagawa ng temperature checks bago sumakay sa PUVs ay hindi na rin naipatutupad.,Dulot na rin ito ng nakikitang pagbabalewala na marami sa mga itinakdang protocols ng IATF tulad ng social distancing partikular sa mga bus and jeepney at maging ang pagsasagawa ng temperature checks bago sumakay sa PUVs ay hindi na rin naipatutupad.,delete,Correct
14582,Hindi raw totoo yun sabi ni Ara at hindi pa niya makumpirma kung sa April na nga naka-schedule ang kasal.,Hindi raw totoo yun sabi ni Ara at hindi pa niya makumpirma kung sa April na nga naka-schedule ang kasal.,merge_hyphen,Correct
4849,Ang pagtataas ay bunsod umano ng mas mataas na hango nila sa mga supplier at dahil na rin sa kakulangan sa suplay.,Ang pagtataas ay bunsod umano ng mas mataas na hango nila sa mga supplier at dahil na rin sa kakulangan sa suplay.,replace_rin,Correct
15143,"Bunsod nito, nagbabala si Hidalgo na kanyang sisibakin ang mga police community precinct commanders at chiefs of police kung ang kanilang mga tauhan ay mahuhuli na limang beses na naging pabaya sa kanilang mga tungkulin at sa kabiguang magpatupad ng disiplina sa kanilang mga subordinates.","Bunsod nito, nagbabala si Hidalgo na kanyang sisibakin ang mga police community precinct commanders at chiefs of police kung ang kanilang mga tauhan ay mahuhuli na limang beses na naging pabaya sa kanilang mga tungkulin at sa kabiguang magpatupad ng disiplina sa kanilang mga subordinates.",transform_verb_compact,Correct
11123,"Batay sa FDA evaluation, maaaring ibigay ang AstraZeneca COVID-19 vaccine sa mga 18-anyos pataas, at may efficacy rate ito na 70% sa unang turok, at tataas pa sa ikalawang turok na ibibigay pagkaraan ng apat hanggang 12 linggo FRJ, GMA News.","Batay sa FDA evaluation, maaaring ibigay ang AstraZeneca COVID-19 vaccine sa mga 18-anyos pataas, at may efficacy rate ito na 70% sa unang turok, at tataas pa sa ikalawang turok na ibibigay pagkaraan ng apat hanggang 12 linggo FRJ, GMA News.",transform_verb_contobj,Correct
9627,"Para sa aktres ay hindi tipikal na kontrabida ang masasaksihan ng mga manonood sa kanya kaya kailangang pakaabangan ang mga eksena nila ni Francine Diaz. “Itong character na ito, ang role na kontrabida is to add some spice sa istorya. So ang character na ito, makikita nyo si Agatha na hindi naman siya yung sobrang masamang tao, may soft side rin siya. Mainly ang impact ni Agatha ay sa buhay ni Joy (karakter ni Francine),” pagbabahagi ng aktres.","Para sa aktres ay hindi tipikal na kontrabida ang masasaksihan ng mga manonood sa kanya kaya kailangang pakaabangan ang mga eksena nila ni Francine Diaz. “Itong character na ito, ang role na kontrabida is to add some spice sa istorya. So ang character na ito, makikita nyo si Agatha na hindi naman siya yung sobrang masamang tao, may soft side rin siya. Mainly ang impact ni Agatha ay sa buhay ni Joy (karakter ni Francine),” pagbabahagi ng aktres.",multiple_change_punc_period,Correct
19918,"Pero nitong April 12, sinabi ng biktima na noong isang taon pa siya ginagahasa ng kaniyang ama. Tinatakot daw siya nito kaya hindi siya agad nagsumbong.","Pero nitong April 12, sinabi ng biktima na noong isang taon pa siya ginagahasa ng kaniyang ama. Tinatakot daw siya nito kaya hindi siya agad nagsumbong.",multiple_add_punc_period,Correct
10885,Ikaw lang ang rason kaya ako nabubuhay.,Ikaw lang ang rason kaya ako nabubuhay.,merge_space,Correct
10561,Naniniwala ako na gagawin ko to para magawa ko yan.,Naniniwala ako na gagawin ko to para magawa ko yan.,change_punc_period,Correct
12725,"Ang pagbabayad po nila mas niliitan po namin, nag-range po ito ng P2,700 every 15 at 30 ng buwan.","Ang pagbabayad po nila mas niliitan po namin, nag-range po ito ng P2,700 every 15 at 30 ng buwan.",replace_nila,Correct
13260,"Sa Cleveland, naglista si Darius Garland ng 21 points kasunod ang 20 markers ni Donovan Mitchell sa 114-90 panalo ng Cavaliers (40-26) sa Detroit Pistons.","Sa Cleveland, naglista si Darius Garland ng 21 points kasunod ang 20 markers ni Donovan Mitchell sa 114-90 panalo ng Cavaliers (40-26) sa Detroit Pistons.",change_punc_period,Correct
16921,Nilinaw rin ni Roque na hindi kasama sa 89 million doses ang donasyon mula sa COVAX facility.,Nilinaw rin ni Roque na hindi kasama sa 89 million doses ang donasyon mula sa COVAX facility.,delete,Correct
10869,"Sa ulat ng GMA News Feed, sinabing ititigil na sana ng mga doktor ang pag-resucitate kay Baby Isaiah Gordon, nang bigla itong magkaroon ng buhay.","Sa ulat ng GMA News Feed, sinabing ititigil na sana ng mga doktor ang pag-resucitate kay Baby Isaiah Gordon, nang bigla itong magkaroon ng buhay.",merge_hyphen,Correct
19428,"Dahil alam din naman ng mga pulitiko maski na noon pa na ang madalas na binabasa ng mga tao sa diyaryo bukod sa front page ay ang entertainment at sports pages, sinisikap nilang pasukan ng kanilang kampanya ang mga entertainment pages.","Dahil alam din naman ng mga pulitiko maski na noon pa na ang madalas na binabasa ng mga tao sa diyaryo bukod sa front page ay ang entertainment at sports pages, sinisikap nilang pasukan ng kanilang kampanya ang mga entertainment pages.",transform_verb_incobj,Correct
760,At mag-uumpisa ang isang adventure na hindi nila makakalimutan.,At mag-uumpisa ang isang adventure na hindi nila makakalimutan.,transform_split_hyphen,Correct
12280,Nang silipin ay nagulantang sila nang makita ang isang patay na babae sa backseat ng kotse.,Nang silipin ay nagulantang sila nang makita ang isang patay na babae sa backseat ng kotse.,replace_nang,Correct
22183,"Okay ibato nyo yung question, pero gusto ko po na may boundaries po tayo at lumalagpas na po kayo dun. Kapag napi-feel ko na nalalagpasan yung limits na yun, yung boundaries na yun, okay lang ako mag say no.","Okay ibato nyo yung question, pero gusto ko po na may boundaries po tayo at lumalagpas na po kayo dun. Kapag napi-feel ko na nalalagpasan yung limits na yun, yung boundaries na yun, okay lang ako mag say no.",multiple_change_punc_period,Correct
27,Matatandaan na nitong alas-2:12 ng madaling araw sa kahabaan ng Emilio Aguinaldo highway corner Daño Street Brgy. Zone 4Dasmariñas City nang maganap ang pangyayari kung saan kitang- kita sa CCTV ang pagsagasa ng isang puting Van sa apat na biktimang mga nakasakay sa kani kanilang motor at nakahinto sa traffic lights.,Matatandaan na nitong alas-2:12 ng madaling araw sa kahabaan ng Emilio Aguinaldo highway corner Daño Street Brgy. Zone 4Dasmariñas City nang maganap ang pangyayari kung saan kitang- kita sa CCTV ang pagsagasa ng isang puting Van sa apat na biktimang mga nakasakay sa kani kanilang motor at nakahinto sa traffic lights.,multiple_capital,Correct
17657,"Alam mo kami minsan ng fiance ko may mga nadi-discover din kami, nag-aaway kami, may hindi kami napagkakasunduan. Iba 'yung gusto ko, iba 'yung gusto niya. Ganun pala mag-plan ng wedding?! anang aktres.","Alam mo kami minsan ng fiance ko may mga nadi-discover din kami, nag-aaway kami, may hindi kami napagkakasunduan. Iba 'yung gusto ko, iba 'yung gusto niya. Ganun pala mag-plan ng wedding?! anang aktres.",multiple_capital,Correct
6094,"Tiningnan ko talaga lahat, wala!","Tiningnan ko talaga lahat, wala!",change_punc_emark,Correct
20717,Nabatid na nawalan ng kontrol si Ngoho sa pagpapatakbo sa motorsiklo saka dumausdos sa kabilang linya at nadaanan ng trak na kasalubong.,Nabatid na nawalan ng kontrol si Ngoho sa pagpapatakbo sa motorsiklo saka dumausdos sa kabilang linya at nadaanan ng trak na kasalubong.,transform_case_lower,Correct
13327,"Ayon sa mga opisyal,naisakatuparan ang pagbalik-loob ng mga ito nang matagumpay na mahikayat ng mga sundalo na sumuko na sa pamahalaan para landasin na ang pagbabagumbuhay.","Ayon sa mga opisyal,naisakatuparan ang pagbalik-loob ng mga ito nang matagumpay na mahikayat ng mga sundalo na sumuko na sa pamahalaan para landasin na ang pagbabagumbuhay.",transform_verb_compact,Correct
21327,Siguro isa na nga riyan iyong love team.,Siguro isa na nga riyan iyong love team.,transform_split_space,Correct
20347,"Matatandaan na binaril ng suspek ang kanyang misis na si Jefrin, 34, isang dating overseas Filipino worker (OFW) habang kapwa sila dumalo sa isang kasalan ng kanilang kamag-anak sa Barangay Dalena noong Marso 2017.","Matatandaan na binaril ng suspek ang kanyang misis na si Jefrin, 34, isang dating overseas Filipino worker (OFW) habang kapwa sila dumalo sa isang kasalan ng kanilang kamag-anak sa Barangay Dalena noong Marso 2017.",replace_sila,Correct
2639,Malaki ang pasasalamat ni Inigo na mapabilang sa isang international series upang ibandera ang talentong Pinoy.,Malaki ang pasasalamat ni Inigo na mapabilang sa isang international series upang ibandera ang talentong Pinoy.,add_punc_period,Correct
21947,Sinasabi ni Ruru na nakaka-inspire raw katrabaho si Kylie dahil talagang nakikita kung gaano ka-dedicated ang aktres sa trabaho.,Sinasabi ni Ruru na nakaka-inspire raw katrabaho si Kylie dahil talagang nakikita kung gaano ka-dedicated ang aktres sa trabaho.,transform_insert_hyphen,Correct
5032,Subalit nakapasok pa rin ang India sa next round matapos madiskwalipika ang South Korea.,Subalit nakapasok pa rin ang India sa next round matapos madiskwalipika ang South Korea.,replace_rin,Correct
8100,"Binigyan diin din sa pulong ang kahalagahan ng pagkakaron ng bukas na usapin sa lahat ng programa, kabilang ang Coaches Education Exchange program upang palakasin ang antas ng kaalaman at kasanayan ng mga local coaches.","Binigyan diin din sa pulong ang kahalagahan ng pagkakaron ng bukas na usapin sa lahat ng programa, kabilang ang Coaches Education Exchange program upang palakasin ang antas ng kaalaman at kasanayan ng mga local coaches.",change_punc_period,Correct
