Original Sentence,Gold Sentence,Correction,Correct or Incorrect
"Wawalain pa rin umanong naitatalang election related incident of violence sa bansa mula nang mag-umpisa ang election period, dagdag pa ng tagapagsalita ng PNP.","Wala pa rin umanong naitatalang election related incident of violence sa bansa mula nang mag-umpisa ang election period, dagdag pa ng tagapagsalita ng PNP.",transform_verb_base,Incorrect
"Sa ngayon, wala pa daw balak ang lokal na pamahalaan na magdeklara ng outbreak.","Sa ngayon, wala pa raw balak ang lokal na pamahalaan na magdeklara ng outbreak.",replace_raw,Incorrect
"Nagpatay ang isang bagitong pulis matapos aksidenteng salpukin ng isang cargo truck ang likuran bahagi ng kanyang motorsiklo sa Caloocan City, kamakalawa ng gabi.","Patay ang isang bagitong pulis matapos aksidenteng salpukin ng isang cargo truck ang likuran bahagi ng kanyang motorsiklo sa Caloocan City, kamakalawa ng gabi.",transform_verb_base,Incorrect
"Nitong Huwebes, itinaas ng Phivolcs ang Alert Level 3 sa Taal makaraang magbuga ng isang kilometrong taas na “phreatomagmatic” na abo","Nitong Huwebes, itinaas ng Phivolcs ang Alert Level 3 sa Taal makaraang magbuga ng isang kilometrong taas na “phreatomagmatic” na abo.",add_punc_period,Incorrect
"Sobrang malapit si Francine Diaz sa kanyang mga magulang at mga kapatid. May pagkaistrikto umano ang ama at ina ng aktres sa kanilang magkakapatid. “Every night nagro-rosary kami as a family. KUNG hindi man rosary nagpe-pray kami nang sabay-sabay bago matulog. Yes, strict parents ko pero hindi naman yung sobra-sobra. Strict sila kapag late na aalis or uuwi. Meron kaming curfew, may cut-off kami,” nakangiting pahayag ni Francine.","Sobrang malapit si Francine Diaz sa kanyang mga magulang at mga kapatid. May pagkaistrikto umano ang ama at ina ng aktres sa kanilang magkakapatid. “Every night nagro-rosary kami as a family. Kung hindi man rosary nagpe-pray kami nang sabay-sabay bago matulog. Yes, strict parents ko pero hindi naman yung sobra-sobra. Strict sila kapag late na aalis or uuwi. Meron kaming curfew, may cut-off kami,” nakangiting pahayag ni Francine.",multiple_capital,Incorrect
Nananatili na hindi pa nareresolba ang pagpatay sa mag-asawang Abdul na sakay ng kanilang Toyota Hilux pick up truck nang tambangan ng mga armadong kalalakihan.,Nananatili na hindi pa nareresolba ang pagpatay sa mag-asawang Abdul na sakay ng kanilang Toyota Hilux pick-up truck nang tambangan ng mga armadong kalalakihan.,merge_hyphen,Incorrect
Nauna nang inihayag ng pangulo namagreretiro na SIYA sa politika kapag bumaba na siya sa kanyang puwesto.,Nauna nang inihayag ng pangulo namagreretiro na siya sa politika kapag bumaba na siya sa kanyang puwesto.,transform_case_lower,Incorrect
"Sa ulat ng GMA News Live nitong Martes, nagsasabi ng pulisya na isa ang nasawi at 13 ang nasaktan sa naturang insidente.","Sa ulat ng GMA News Live nitong Martes, sinabi ng pulisya na isa ang nasawi at 13 ang nasaktan sa naturang insidente.",transform_verb_compobj,Incorrect
"Pinatay sina Asuncion, isang lider manggagawa at tagapagsalita ng BAYAN-Cavite, ilang araw matapos utusan ni dating Pangulong Rodrigo Duterte ang pulis at militar na patayin ang mgarebeldenang hindi iniisip ang karapatang pantao.","Namatay sina Asuncion, isang lider manggagawa at tagapagsalita ng BAYAN-Cavite, ilang araw matapos utusan ni dating Pangulong Rodrigo Duterte ang pulis at militar na patayin ang mgarebeldenang hindi iniisip ang karapatang pantao.",transform_verb_compact,Incorrect
"Alam ko naman nung una na joke rin lang naman sa kanila 'yon pero nung sensitive ako. Halimbawa kung napagkuwentuhan namin nung regular inuman, tatawanan ko 'yan, paliwanag niya","Alam ko naman nung una na joke rin lang naman sa kanila 'yon pero nung sensitive ako. Halimbawa kung napagkuwentuhan namin nung regular inuman, tatawanan ko 'yan, paliwanag niya.",multiple_add_punc_period,Incorrect
Dati nang pi nupukol ng mga aroganteng tanong si Heart tungkol sa pagbubuntis.,Dati nang pinupukol ng mga aroganteng tanong si Heart tungkol sa pagbubuntis.,merge_space,Incorrect
Naging comfortable na diumano ito sa hitsura niya kahit sa mga virtual guesting niya ngayong pandemic na isa sa iniisip na rason ng ibang malapit kay Paolo na baka nga naman nag-trigger ito para bumibilis ang kanilang hiwalayan ng aktor.,Naging comfortable na diumano ito sa hitsura niya kahit sa mga virtual guesting niya ngayong pandemic na isa sa iniisip na rason ng ibang malapit kay Paolo na baka nga naman nag-trigger ito para bumilis ang kanilang hiwalayan ng aktor.,transform_verb_compact,Incorrect
"Sa inisyal na pagiimbestiga ng mga awtoridad, nalaman na nagsimula umano ang apoy mula sa Christmas tree.","Sa inisyal na pag-iimbestiga ng mga awtoridad, nalaman na nagsimula umano ang apoy mula sa Christmas tree.",transform_insert_hyphen,Incorrect
Nagpasalamat din si Herlene sa mga sumusuporta sa kaniya kaniya na nadagdagan pa umano mula nang sumali siya sa Binibining Pilipinas.,Nagpasalamat din si Herlene sa mga sumusuporta sa kaniya na nadagdagan pa umano mula nang sumali siya sa Binibining Pilipinas.,delete,Incorrect
Ang kabiguan naman ng Soaring Falcons (7-7) ang nagtakda sa kanilang playoff ng La Salle Green Archers (7-7) para sa No. 4 berth sa Linggo,Ang kabiguan naman ng Soaring Falcons (7-7) ang nagtakda sa kanilang playoff ng La Salle Green Archers (7-7) para sa No. 4 berth sa Linggo.,multiple_add_punc_period,Incorrect
"“sarap ng pakiramdam, dahil ang sabi nga daw ang isang bag na ganyan, makapag-save tayo ng tatlong buhay,” pakli ni Sen.","“Sarap ng pakiramdam, dahil ang sabi nga raw ang isang bag na ganyan, makapag-save tayo ng tatlong buhay,” pakli ni Sen.",replace_raw,Incorrect
"Habang 1,029 na pasyente pa ang gumaling, at 193 naman ang nadagdag sa bilang NG mga pumanaw.","Habang 1,029 na pasyente pa ang gumaling, at 193 naman ang nadagdag sa bilang ng mga pumanaw.",transform_case_lower,Incorrect
Isa sa mga ito ang namamatay na habang ang 12 naman ay nakarekober na.,Isa sa mga ito ang namatay na habang ang 12 naman ay nakarekober na.,transform_verb_compact,Incorrect
"Inspired mula sa sunud-sunod na pag-usbong ng community pantries at carts sa ibat ibang mga barangay, naisipan ng aktres at ng kanyang pamilya na ipagpatuloy ito para sa mga nangailangan sa kanilang lugar.","Inspired mula sa sunud-sunod na pag-usbong ng community pantries at carts sa ibat ibang mga barangay, naisipan ng aktres at ng kanyang pamilya na ipagpatuloy ito para sa mga nangangailangan sa kanilang lugar.",transform_verb_incact,Incorrect
Nasawi-sa insidente si Onora habang nakatakas naman ang kasama nito.,Nasawi sa insidente si Onora habang nakatakas naman ang kasama nito.,transform_split_hyphen,Incorrect
"Dahil sa makikita niyang hindi magandang kalagayan ng 27 na aso, nagdesisyon siyang tulungan sila pagkatapos ng trabaho.","Dahil sa nakita niyang hindi magandang kalagayan ng 27 na aso, nagdesisyon siyang tulungan sila pagkatapos ng trabaho.",transform_verb_compobj,Incorrect
"Kung ang kabit ay nakagawa ng paglabag sa mga rules and regulations ng isang kompanya, o labag sa batas na may kinalaman din sa trabaho niya, may basehan niya para siya ay ipatanggal, paliwanag ng abogado.","Kung ang kabit ay nakagawa ng paglabag sa mga rules and regulations ng isang kompanya, o labag sa batas na may kinalaman din sa trabaho niya, may basehan siya para siya ay ipatanggal, paliwanag ng abogado.",replace_siya,Incorrect
Paliwanag ng opisyal na hindi sila pinakikialaman ang social media lalo na kung ito ay personal post at bilang bahagi ng proseso ay dapat may maghain ng reklamo upang hindi mabalikan ang kanilang mga tauhan dahil sa paniniktik sa personal na account ng publiko.,Paliwanag ng opisyal na hindi nila pinakikialaman ang social media lalo na kung ito ay personal post at bilang bahagi ng proseso ay dapat may maghain ng reklamo upang hindi mabalikan ang kanilang mga tauhan dahil sa paniniktik sa personal na account ng publiko.,replace_nila,Incorrect
Ang mga senior citizen ay pinapayagang tanggap ng AstraZenica vaccines base sa DOH guidelines.,Ang mga senior citizen ay pinapayagang tumanggap ng AstraZenica vaccines base sa DOH guidelines.,transform_verb_compact,Incorrect
"Nang dahil sa presinto ang lalaki para iproseso, doon na nalaman ng mga pulis na kaarawan pala ng lalaki nang araw na isilbi sila ang arrest warrant.","Nang dahil sa presinto ang lalaki para iproseso, doon na nalaman ng mga pulis na kaarawan pala ng lalaki nang araw na isilbi nila ang arrest warrant.",replace_nila,Incorrect
Iginiit pa ni Villar na kaya nababawasan ng production dahil sinisira ng bagyo?,Iginiit pa ni Villar na kaya nababawasan ng production dahil sinisira ng bagyo.,change_punc_period,Incorrect
Ngayon raw ay nakikita raw niya kay Ejay na talagang gusto nitong matuto at gustung-gusto nitong magsilbi sa kanilang mga kababayan.Nag-aaral.,Ngayon daw ay nakikita raw niya kay Ejay na talagang gusto nitong matuto at gustung-gusto nitong magsilbi sa kanilang mga kababayan.Nag-aaral.,replace_daw,Incorrect
Agad namang nagpalabas ng alarma ang Cagayan Police sa lahat ng himpilan ng pulisya sa lalawigan at kalapit probinsya para sa posibleng pagkakakilanlan sa kagagamit na sasakyan.,Agad namang nagpalabas ng alarma ang Cagayan Police sa lahat ng himpilan ng pulisya sa lalawigan at kalapit probinsya para sa posibleng pagkakakilanlan sa ginamit na sasakyan.,transform_verb_compobj,Incorrect
"Tinatanggap ng CMU ng mga pagkilala mula sa mismong Commission on Higher Education (CHED) dahil sa mga natatanging programa nito sa kasalukuyan, kung kayat naging karapat-dapat itong tumanggap ng Unifast grant, isang pinansyal na tulong para sa nasabing unibersidad.","Katatanggap ng CMU ng mga pagkilala mula sa mismong Commission on Higher Education (CHED) dahil sa mga natatanging programa nito sa kasalukuyan, kung kayat naging karapat-dapat itong tumanggap ng Unifast grant, isang pinansyal na tulong para sa nasabing unibersidad.",transform_verb_reccomp,Incorrect
"Kung babalikan natin ang kasaysayan, si dating Pangulong Cory Aquino ang hinirang na presidente ng bansa matapos na magtagumpay ang taumbayan na paalisin sa puwesto ang darating Pangulong Ferdinand Marcos noong EDSA People Power Revolution na naganap noong Pebrero 1986.","Kung babalikan natin ang kasaysayan, si dating Pangulong Cory Aquino ang hinirang na presidente ng bansa matapos na magtagumpay ang taumbayan na paalisin sa puwesto ang dating Pangulong Ferdinand Marcos noong EDSA People Power Revolution na naganap noong Pebrero 1986.",transform_verb_base,Incorrect
Niwala si Presidential spokesperson Harry Roque na hindi matatakasan ng mga kasapi ng Communist Party of the Philippines-New Peoples Army-National Democratic Front (CPP-NPA-NDF) ang sinapit ng mga German Nazis na nilitis at naparusahan dahil sa kanilang mga krimen na nagawa noong World War II.,Naniniwala si Presidential spokesperson Harry Roque na hindi matatakasan ng mga kasapi ng Communist Party of the Philippines-New Peoples Army-National Democratic Front (CPP-NPA-NDF) ang sinapit ng mga German Nazis na nilitis at naparusahan dahil sa kanilang mga krimen na nagawa noong World War II.,transform_verb_incact,Incorrect
Aminado si Miller na wala ang konsentrasyon nito sa giant slalom dahil sa weather condition dahilan para hindi nito matapos ang karera.,Aminado si Miller na nawala ang konsentrasyon nito sa giant slalom dahil sa weather condition dahilan para hindi nito matapos ang karera.,transform_verb_compact,Incorrect
Kaagad namang nagsisigaw ang grupo na prank lang ang kagagawa nila.,Kaagad namang nagsisigaw ang grupo na prank lang ang ginawa nila.,transform_verb_compobj,Incorrect
"Maghihirap ka, oo dahil nga financially hindi mo kaya, pero di ba itatanong mo rin sa sarili mo, inako ko ang pagaalaga ng mga bata, so dapat kayanin ko.","Maghihirap ka, oo dahil nga financially hindi mo kaya, pero di ba itatanong mo rin sa sarili mo, inako ko ang pag-aalaga ng mga bata, so dapat kayanin ko.",transform_insert_hyphen,Incorrect
"Si Gentapa, na siya ring 2nd Best Outside Spiker, ang tinanghal na Finals MVP para sa CSB na nauna nang winalis ang Season 97 sa pagbabalik ng NCAA volleyball matapos ang matagal na pagkakatengga dahil sa pandemya!","Si Gentapa, na siya ring 2nd Best Outside Spiker, ang tinanghal na Finals MVP para sa CSB na nauna nang winalis ang Season 97 sa pagbabalik ng NCAA volleyball matapos ang matagal na pagkakatengga dahil sa pandemya.",change_punc_period,Incorrect
Itinuturo sa atin ng Pagbasa ang ikalat natin ang pag-ibig sa ating kapuwa at maglalaan ng oras o panahon para sa mga taong kakailanganin ng tulong lalo na sa panahon ngayon.,Itinuturo sa atin ng Pagbasa ang ikalat natin ang pag-ibig sa ating kapuwa at maglalaan ng oras o panahon para sa mga taong nangangailangan ng tulong lalo na sa panahon ngayon.,transform_verb_incact,Incorrect
Sinabi din ng duktor na dapat tiyakin na malinis ang tinutulugan para maiwasan ang mga katulad na insidente.,Sinabi rin ng duktor na dapat tiyakin na malinis ang tinutulugan para maiwasan ang mga katulad na insidente.,replace_rin,Incorrect
"Gagawin ang shooting sa kalagitnaan ng Pebrero 2021 sa Atlanta, Georgia!","Gagawin ang shooting sa kalagitnaan ng Pebrero 2021 sa Atlanta, Georgia.",change_punc_period,Incorrect
"Ito ang ibinahagi ng Office of Civil Defense (OCD), Miyerkules, matapos umabot 291,826 katao ang naaapektuhan sa naturang masungit panahon.","Ito ang ibinahagi ng Office of Civil Defense (OCD), Miyerkules, matapos umabot 291,826 katao ang naaapektuhan sa naturang masungit na panahon.",append_t1,Incorrect
"sa ulat ng Itogon Police, ang batang biktima na itinago sa pangalang Jena ay nawala matapos siyang maligo sa isang communal bathroom noong Pebrero 5. Kasama ng biktima ang kanyang ina na nagtungo sa nasabing paliguan pero naunang umuwi ang ginang sa kanilang bunkhouse.","Sa ulat ng Itogon Police, ang batang biktima na itinago sa pangalang Jena ay nawala matapos siyang maligo sa isang communal bathroom noong Pebrero 5. Kasama ng biktima ang kanyang ina na nagtungo sa nasabing paliguan pero naunang umuwi ang ginang sa kanilang bunkhouse.",multiple_capital,Incorrect
Marami ang nagulat dahil tahimik lang nila noong una.,Marami ang nagulat dahil tahimik lang sila noong una.,replace_sila,Incorrect
"Kinilala ng Lal-lo Police ang mga nasawi na sina Aladin Oñate, Calrita Maganay, Duarte Oñate, ERIC Oñate, May Ann Martinez, Rosita Martinez, Charie Oñate at mga batang sina Elisa Martinez, 3-buwang gulang at Jeric Oñate, 10; pawang mga miyembro ng Agta Community at residente ng naturang barangay.","Kinilala ng Lal-lo Police ang mga nasawi na sina Aladin Oñate, Calrita Maganay, Duarte Oñate, Eric Oñate, May Ann Martinez, Rosita Martinez, Charie Oñate at mga batang sina Elisa Martinez, 3-buwang gulang at Jeric Oñate, 10; pawang mga miyembro ng Agta Community at residente ng naturang barangay.",transform_case_capital,Incorrect
"Ngayong may vaccine na sa bansa, makakabalik na kaya sa normal ang panonood ng concert? Ang susunod kayang concert ni Regine ay face to face na!","Ngayong may vaccine na sa bansa, makakabalik na kaya sa normal ang panonood ng concert? Ang susunod kayang concert ni Regine ay face to face na?",multiple_change_punc_qmark,Incorrect
"Gayunman, ngayon ay hindi pa nailalabas ang impormasyon sa isa pang nasawing Pinay.","Gayunman, sa ngayon ay hindi pa nailalabas ang impormasyon sa isa pang nasawing Pinay.",append_t1,Incorrect
Ako kasi yung tao namedyo mababa ang self confidence ko.,Ako kasi yung tao na medyo mababa ang self confidence ko.,transform_split_space,Incorrect
"Yun-ang kinakatakutan ko, sabi ni Carlo, na naging problema rin ang birth certificate maging sa pag-a-apply sa trabaho.","Yun ang kinakatakutan ko, sabi ni Carlo, na naging problema rin ang birth certificate maging sa pag-a-apply sa trabaho.",transform_split_hyphen,Incorrect
"Ayon naman sa election lawyer na si Romulo Macalintal, dapat ikunsidera-na ang pag-extend ng botohan lalo nat kasalanan ng Comelec, at hindi ng mga botante, na hindi napaghandaan nang maayos ang mga VCMs.","Ayon naman sa election lawyer na si Romulo Macalintal, dapat ikunsidera na ang pag-extend ng botohan lalo nat kasalanan ng Comelec, at hindi ng mga botante, na hindi napaghandaan nang maayos ang mga VCMs.",transform_split_hyphen,Incorrect
Okay lang raw sa kanya dahil nasa tamang edad naman daw siya at sa pagpapa-sexy na siya malilinya.,Okay lang daw sa kanya dahil nasa tamang edad naman daw siya at sa pagpapa-sexy na siya malilinya.,replace_daw,Incorrect
"Kabilang sa mga bumawi ng suporta ang isang armadong kasapi ng New Peoples Army, apat na miyembro ng National Democratic Front, tatlong-organizers at isang lider ng mga kabataan.","Kabilang sa mga bumawi ng suporta ang isang armadong kasapi ng New Peoples Army, apat na miyembro ng National Democratic Front, tatlong organizers at isang lider ng mga kabataan.",transform_split_hyphen,Incorrect
Noong Enero ay naitala ang inflation rate sa 8.7% na ikinabigla rin ng mga economic mana­ger. Ito na ang pinakamataas sapol ang 9.1% noong November 2008,Noong Enero ay naitala ang inflation rate sa 8.7% na ikinabigla rin ng mga economic mana­ger. Ito na ang pinakamataas sapol ang 9.1% noong November 2008.,multiple_add_punc_period,Incorrect
"It is a fact na ang daming nawalan ng trabaho, ang daming kailangang gumawa ng paraan to sustain our daily needs! We are thankful kasi nandiyan pa rin ang GMA to help us survive, dagdag ng Asias Pop Diva.","It is a fact na ang daming nawalan ng trabaho, ang daming kailangang gumawa ng paraan to sustain our daily needs. We are thankful kasi nandiyan pa rin ang GMA to help us survive, dagdag ng Asias Pop Diva.",multiple_change_punc_period,Incorrect
Kasama ang kapwa outside hitter na si Bryan Bagunas na siyang import ngayon ng Oita?,Kasama ang kapwa outside hitter na si Bryan Bagunas na siyang import ngayon ng Oita.,change_punc_period,Incorrect
Hangang hanga sa pamilya Abrenica ang aming mga nakakausap.,Hangang-hanga sa pamilya Abrenica ang aming mga nakakausap.,merge_hyphen,Incorrect
Ang One-China Policy ay ang posisyon ng Peoples Republic of China (Beijing) na iisa lang ang soviereign state na dapat may pangalang Tsina! Ang Taiwan ay tinatawag ding Republic of China.,Ang One-China Policy ay ang posisyon ng Peoples Republic of China (Beijing) na iisa lang ang soviereign state na dapat may pangalang Tsina. Ang Taiwan ay tinatawag ding Republic of China.,multiple_change_punc_period,Incorrect
"Sa episode ng ""Fast Talk with Boy Abunda"" nitong Lunes, sinabi ni Rufa Mae na bago siya aalis patungong Amerika noong 2020, si Heart ang huling tao na kaniyang kinatagpo.","Sa episode ng ""Fast Talk with Boy Abunda"" nitong Lunes, sinabi ni Rufa Mae na bago siya umalis patungong Amerika noong 2020, si Heart ang huling tao na kaniyang kinatagpo.",transform_verb_compact,Incorrect
"Sa tagal ng hindi pagharap ni Bong sa camera, talagang sobra ang excitement siya sa project na ito na talaga namang isa sa dream project niya.","Sa tagal ng hindi pagharap ni Bong sa camera, talagang sobra ang excitement niya sa project na ito na talaga namang isa sa dream project niya.",replace_niya,Incorrect
Napapanahon din daw na itigil ng Pilipinas ang pagsandig sa importasyon lalo nat bagsak na bagsak halaga ng piso kontra dolyar (P58.19.,Napapanahon din daw na itigil ng Pilipinas ang pagsandig sa importasyon lalo nat bagsak na bagsak ang halaga ng piso kontra dolyar (P58.19.,append_t1,Incorrect
Sa naturang batas ay itinatakda ang mga buwis na dapat bayaran nang mga kumpanya ng POGO gayundin ang pagkolekta ng buwis sa POGO workers Gemma Garcia.,Sa naturang batas ay itinatakda ang mga buwis na dapat bayaran ng mga kumpanya ng POGO gayundin ang pagkolekta ng buwis sa POGO workers Gemma Garcia.,replace_ng,Incorrect
Nasayang ang produksiyon ni Rhinwil Yambing para sa Stags kung saan-nagtala ito ng 17 puntos subalit na foul out sa huling bahagi ng fourth quarter.,Nasayang ang produksiyon ni Rhinwil Yambing para sa Stags kung saan nagtala ito ng 17 puntos subalit na foul out sa huling bahagi ng fourth quarter.,transform_split_hyphen,Incorrect
Nakasama din nina Pokwang si Lee nang magtungo sila kamakailan sa Amerika.,Nakasama rin nina Pokwang si Lee nang magtungo sila kamakailan sa Amerika.,replace_rin,Incorrect
"Sa kuwentong Dapat Alam Mo! ni Oscar Oida, sinabing ""Hipo"" ang tawag sa tradisyunal na paraan ng mga taga-bayan ng Putian para gamutin ang sumasakit nilang ngipin","Sa kuwentong Dapat Alam Mo! ni Oscar Oida, sinabing ""Hipo"" ang tawag sa tradisyunal na paraan ng mga taga-bayan ng Putian para gamutin ang sumasakit nilang ngipin.",multiple_add_punc_period,Incorrect
Segundo angnaglusot sa 93-92 panalo ng Tropang Giga sa Hotshots sa Game Three noong Linggo.,Segundo ang naglusot sa 93-92 panalo ng Tropang Giga sa Hotshots sa Game Three noong Linggo.,transform_split_space,Incorrect
Kumbinsido na ang mga katrabaho ng isang pamosong male personality na talagang tinalikuran na siya ang mga hindi kagandahang isyung pinagtuunan niya ng panahon nung mga nakaraang taon.,Kumbinsido na ang mga katrabaho ng isang pamosong male personality na talagang tinalikuran na niya ang mga hindi kagandahang isyung pinagtuunan niya ng panahon nung mga nakaraang taon.,replace_niya,Incorrect
"23, at inaasahang napuno nila ang big dome dahil sa rami ng fans nila, at sa marketing strategy ng KDR.","23, at inaasahang mapupuno nila ang big dome dahil sa rami ng fans nila, at sa marketing strategy ng KDR.",transform_verb_contact,Incorrect
"Ang mga estudyante ay sumailalim sa tatlong parte ng kompetisyon: written test, multimedia test at substantial fieldwork na kailangan ng obserbasyon na siyang tutungo naman sa cartographic representation at geographical analysis.","Ang mga estudyante ay sumailalim sa tatlong parte ng kompetisyon: written test, multimedia test at substantial fieldwork na kinakailangan ng obserbasyon na siyang tutungo naman sa cartographic representation at geographical analysis.",transform_verb_incobj,Incorrect
Sa june 2021 ito magaganap sa bansa.,Sa June 2021 ito magaganap sa bansa.,transform_case_capital,Incorrect
"sobrang sakit, sobra,"" saad ng ginang ""Hindi ko akalaing hahantong sa ganun.","Sobrang sakit, sobra,"" saad ng ginang ""Hindi ko akalaing hahantong sa ganun.",transform_case_capital,Incorrect
Saka na lang daw nila maghahanap ng ipapalit kay Ellen kung sakaling may go signal nang magkakaroon ito ng season 3.,Saka na lang daw sila maghahanap ng ipapalit kay Ellen kung sakaling may go signal nang magkakaroon ito ng season 3.,replace_sila,Incorrect
"Pero maraming ginawa si Keempee, kahit na sa telebisyon na napatunayan niya na mahusay siyang actor at malakas ang batak niya","Pero maraming ginawa si Keempee, kahit na sa telebisyon na napatunayan niya na mahusay siyang actor at malakas ang batak niya.",add_punc_period,Incorrect
"Ayon kay John Michael Banababa, kapatid ni Jenny Rose, mangunguha lang sana ng sea urchins ang biktima na pang-ulam sila nang mangyari ang insidente.","Ayon kay John Michael Banababa, kapatid ni Jenny Rose, mangunguha lang sana ng sea urchins ang biktima na pang-ulam nila nang mangyari ang insidente.",replace_nila,Incorrect
Kagagawa ni Duterte ang pahayag matapos kuwestyunin nina Sens.,Ginawa ni Duterte ang pahayag matapos kuwestyunin nina Sens.,transform_verb_compobj,Incorrect
Sabi ni Cong,Sabi ni Cong.,add_punc_period,Incorrect
Maaga raw na alis ang mga magulang ng bata para mamalengke.,Maaga raw na umalis ang mga magulang ng bata para mamalengke.,transform_verb_compact,Incorrect
"Sa ulat, dakong alas-8:15 ng gabi habang natutulog na ang mga biktima ng bigla silang pasukin ng tatlong suspek.","Sa ulat, dakong alas-8:15 ng gabi habang natutulog na ang mga biktima nang bigla silang pasukin ng tatlong suspek.",replace_nang,Incorrect
"Yung pinaganda mo yung park para makita at maka-experience ng kakaiba ang mga Quezonians pero ganito ang ginawa nila? Hayst! Parang sa love rin eh binigay mo na lahat, wawasakin ka pa? pahayag ni Almagro sa pagkadismaya.","Yung pinaganda mo yung park para makita at maka-experience ng kakaiba ang mga Quezonians pero ganito ang ginawa nila? Hayst! Parang sa love rin eh binigay mo na lahat, wawasakin ka pa! pahayag ni Almagro sa pagkadismaya.",multiple_change_punc_emark,Incorrect
"Mas pinabilis ito kumpara sa dating paraan na kailangan pa nilang maghintay ng kokopya ng aprubadong sickness notification (SN) bago ito personal na maipasa sa SSS branches, ayon kay President and Chief Executive Officer Aurora C. Ignacio.","Mas pinabilis ito kumpara sa dating paraan na kailangan pa nilang maghintay ng kopya ng aprubadong sickness notification (SN) bago ito personal na maipasa sa SSS branches, ayon kay President and Chief Executive Officer Aurora C. Ignacio.",transform_verb_base,Incorrect
"Ang kuwentong yun ay sinang-ayunan ng kampo ng isa pang male personality, naging magkarelasyon sila, hindi lang niya mabaligtad ang kuwento dahil mayaman ang male personality","Ang kuwentong yun ay sinang-ayunan ng kampo ng isa pang male personality, naging magkarelasyon sila, hindi lang niya mabaligtad ang kuwento dahil mayaman ang male personality.",add_punc_period,Incorrect
"Nag-umpisa sina Julie and Romy na very sweet, loving, and understanding sa isat pero habang lumilipas ang oras, nadiskubre sila ang mga kahinahaan nila hanggang they start to get on each others nerves.","Nag-umpisa sina Julie and Romy na very sweet, loving, and understanding sa isat pero habang lumilipas ang oras, nadiskubre nila ang mga kahinahaan nila hanggang they start to get on each others nerves.",replace_nila,Incorrect
"At ngayong bilyonaryo ka na, nagsasabi ni Oprah, kayang-kaya mo nang bilhin ang lahat ng klase ng sapatos na gusto mo.","At ngayong bilyonaryo ka na, sabi ni Oprah, kayang-kaya mo nang bilhin ang lahat ng klase ng sapatos na gusto mo.",transform_verb_base,Incorrect
"Napapabalita na ang test broadcast daw nito sa Feb. 14, at kinakausap na ni Willie Revillame ang ibang kaibigang celebrities na kagaya nina Aga Muhlach at Ka Tunying Taberna!","Napapabalita na ang test broadcast daw nito sa Feb. 14, at kinakausap na ni Willie Revillame ang ibang kaibigang celebrities na kagaya nina Aga Muhlach at Ka Tunying Taberna.",multiple_change_punc_period,Incorrect
"Totoong totoo SIYA, natatawang sabi ni Barbie.","Totoong totoo siya, natatawang sabi ni Barbie.",transform_case_lower,Incorrect
"Siyam na persons of interest na man ang iniimbestigahan ng mga awtoridad, dagdag nito.","Siyam na persons of interest naman ang iniimbestigahan ng mga awtoridad, dagdag nito.",merge_space,Incorrect
"Ito hindi to speculation. Batay ito sa nakaraang nangyari Noong 2015, 2016, ganito rin ang sitwasyon sa vice presidential race noon. Humahabol si Leni Robredo sa mga ibang kandidato, by December 2015 malayo-layo pa siya sa mga frontrunners, wika ni Barry Gutierrez, tagapagsalita ni Robredo, sa panayam ng TeleRadyo, Huwebes.","Ito hindi to speculation. Batay ito sa nakaraang nangyari. Noong 2015, 2016, ganito rin ang sitwasyon sa vice presidential race noon. Humahabol si Leni Robredo sa mga ibang kandidato, by December 2015 malayo-layo pa siya sa mga frontrunners, wika ni Barry Gutierrez, tagapagsalita ni Robredo, sa panayam ng TeleRadyo, Huwebes.",multiple_add_punc_period,Incorrect
Labimpitong miyembro ng bandidong Abu SayyafGroup (ASG) kabilang ang pamilya ng napatay na sub-leader ng grupo na isang ekspertong bomb maker at liaison officer ng Islamic State of Iraq and Syria (ISIS) ang isinuko sa tropa ng militar sa lalawigan ng Sulu kamakalawa.,Labimpitong miyembro ng bandidong Abu SayyafGroup (ASG) kabilang ang pamilya ng napatay na sub-leader ng grupo na isang ekspertong bomb maker at liaison officer ng Islamic State of Iraq and Syria (ISIS) ang sumuko sa tropa ng militar sa lalawigan ng Sulu kamakalawa.,transform_verb_compact,Incorrect
"Ang sakit kapag may diringinggin kang hindi maganda sa iba, kapag may naririnig kang hindi maganda sa pamilya mo.","Ang sakit kapag may naririnig kang hindi maganda sa iba, kapag may naririnig kang hindi maganda sa pamilya mo.",transform_verb_incact,Incorrect
Iginiit pa ng Senador na ang pagtanggi ni Teves na bumalik at bansa at isinusuko ay nagpapakita ng negatibong impresyon sa mga tao.,Iginiit pa ng Senador na ang pagtanggi ni Teves na bumalik at bansa at sumuko ay nagpapakita ng negatibong impresyon sa mga tao.,transform_verb_compact,Incorrect
Mamamatay na ang karakter ni Seth Fedelin bilang si Macoy sa teleseryeng FPJs Ang Probinsyano.,Namatay na ang karakter ni Seth Fedelin bilang si Macoy sa teleseryeng FPJs Ang Probinsyano.,transform_verb_compact,Incorrect
